Date/Time,Net,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) ,
 01/06  07:00:00,8.186257122,1.072521677,3.283280609,0,3.207680851,0,0.055661112,0.055661112,0.055661112,0.05654521,0.010158921,0.042257835,0.346828683,0.550539917,
 01/06  08:00:00,7.439283858,1.245968845,2.805686605,0,2.691613475,0,0.04670608,0.04670608,0.04670608,0.11554889,0.020759531,0.051056811,0.368531461,0.617836073,
 01/06  09:00:00,7.267613826,1.134098269,2.805206135,0,2.687662472,0,0.04663752,0.04663752,0.04663752,0.110631919,0.019876147,0.058654261,0.311572063,0.576196359,
 01/06  10:00:00,6.853564337,0.949903679,2.746102391,0,2.627291111,0,0.04558993,0.04558993,0.04558993,0.05654521,0.010158921,0.061620214,0.265173021,0.500286384,
 01/06  11:00:00,5.700743344,0.855371306,2.229025395,0,2.121624997,0,0.036815385,0.036815385,0.036815385,0.046711238,0.008392148,0.057762654,0.271409451,0.42375043,
 01/06  12:00:00,6.119506665,0.794829273,2.470453865,0,2.34825902,0,0.04074804,0.04074804,0.04074804,0.046711238,0.008392148,0.057124397,0.271492604,0.359830847,
 01/06  13:00:00,6.415236119,0.744842026,2.647860852,0,2.511191488,0,0.043575317,0.043575317,0.043575317,0.046711238,0.008392148,0.058593194,0.266919222,0.310120908,
 01/06  14:00:00,6.586203805,0.724057953,2.726652631,0,2.611542686,0,0.045316656,0.045316656,0.045316656,0.046711238,0.008392148,0.056748042,0.276149139,0.280210731,
 01/06  15:00:00,6.649106648,0.713597466,2.753061862,0,2.641318123,0,0.045833333,0.045833333,0.045833333,0.049169738,0.008833842,0.05392698,0.291698638,0.253604934,
 01/06  16:00:00,6.917053517,0.754838844,2.861585238,0,2.722099387,0,0.047235085,0.047235085,0.047235085,0.06146218,0.011042304,0.056406952,0.307913357,0.260248964,
 01/06  17:00:00,7.366373136,0.908756697,2.989382035,0,2.772063933,0,0.048102092,0.048102092,0.048102092,0.103256447,0.018551069,0.065849143,0.364207536,0.29826041,
